Age_Range,Industry,Job_Title,Annual_Salary,Additional_Monetary_Compensation,Currency,Other_Currency,Country,State/Province,City,Total _Years_of _Professional_Experience,Total_Years_of_Professional_Field_Experience,Highest_Education,Gender
25-34,SOCIAL WORK,Supports Coordinator,36000,0,USD,NA,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,Master'S Degree,Woman
35-44,TRANSPORT OR LOGISTICS,Truck Driver,58000,2000,USD,NA,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Some College,Man
35-44,"ACCOUNTING, BANKING & FINANCE",Lead (Senior) Analyst,107000,6000,USD,NA,United States,Pennsylvania,Pittsburgh Area,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,"MARKETING, ADVERTISING & PR",Senior Creative Project Manager,81500,6520,USD,NA,United States,South Carolina,"Pittsburgh, Pa",11 - 20 years,11 - 20 years,College Degree,Woman
35-44,COMPUTING OR TECH,Manager Of Front End Engineering,120000,9000,USD,NA,United States,Pennsylvania,"Pittsburgh, Pa",11 - 20 years,11 - 20 years,College Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Shareholder Engagement Specialist,28000,2500,USD,NA,United States,Pennsylvania,"Pittsburgh, Pa",5-7 years,1 year or less,Master'S Degree,Woman
35-44,NONPROFITS,Finance Assistant,40000,1500,USD,NA,United States,Massachusetts,Pittsfiel,11 - 20 years,2 - 4 years,Some College,Woman
35-44,RECRUITMENT OR HR,Payroll & Benefits Specialist,56660,4100,USD,NA,United States,Massachusetts,Pittsfield,11 - 20 years,5-7 years,Some College,Woman
25-34,ENGINEERING OR MANUFACTURING,System Architect,120700,7200,USD,NA,United States,Massachusetts,Pittsfield,8 - 10 years,8 - 10 years,College Degree,Woman
35-44,GOVERNMENT  & PUBLIC ADMINISTRATION,Director Of Community Development,91000,0,USD,NA,United States,Massachusetts,Pittsfield,11 - 20 years,11 - 20 years,Master'S Degree,Other \ prefer not to answer
35-44,COMPUTING OR TECH,Lead Software Engineer,167000,15000,USD,NA,United States,Illinois,Plainfield,11 - 20 years,11 - 20 years,College Degree,Man
25-34,ENGINEERING OR MANUFACTURING,Quality Manager,107000,10000,USD,NA,United States,Connecticut,Plainville,11 - 20 years,11 - 20 years,College Degree,Man
